labels,correct
air hockey,4
ampute football,3
archery,2
arm wrestling,2
axe throwing,4
balance beam,5
barell racing,2
baseball,3
basketball,2
baton twirling,0
bike polo,4
billiards,5
bmx,1
bobsled,2
bowling,3
boxing,5
bull riding,5
bungee jumping,4
canoe slamon,5
cheerleading,3
chuckwagon racing,4
cricket,4
croquet,3
curling,3
disc golf,5
fencing,1
field hockey,5
figure skating men,5
figure skating pairs,4
figure skating women,5
fly fishing,2
football,3
formula 1 racing,4
frisbee,2
gaga,4
giant slalom,5
golf,4
hammer throw,5
hang gliding,5
harness racing,5
high jump,5
hockey,5
horse jumping,3
horse racing,5
horseshoe pitching,2
hurdles,5
hydroplane racing,2
ice climbing,3
ice yachting,3
jai alai,5
javelin,3
jousting,4
judo,5
lacrosse,4
log rolling,3
luge,5
motorcycle racing,3
mushing,2
nascar racing,5
olympic wrestling,5
parallel bar,3
pole climbing,3
pole dancing,3
pole vault,3
polo,4
pommel horse,5
rings,4
rock climbing,3
roller derby,3
rollerblade racing,3
rowing,4
rugby,4
sailboat racing,5
shot put,2
shuffleboard,5
sidecar racing,2
ski jumping,2
sky surfing,3
skydiving,5
snow boarding,1
snowmobile racing,4
speed skating,2
steer wrestling,2
sumo wrestling,1
surfing,3
swimming,4
table tennis,5
tennis,5
track bicycle,4
trapeze,2
tug of war,2
ultimate,2
uneven bars,4
volleyball,4
water cycling,4
water polo,5
weightlifting,4
wheelchair basketball,5
wheelchair racing,3
wingsuit flying,4
